序号,UP主名称,作品ID,作品标题,发布时间,获赞数,分享数,评论数,投币数,收藏数,弹幕数,播放数
161,原神,BV1R84y187Y5,《原神》PV短片——「诸苦无隙」,2023-01-13 12:00:25,930980,395849,55394,581676,295637,55241,10237760
162,原神,BV1MM411c7m6,《原神》艾尔海森角色PV——「疑问与沉默」,2023-01-12 12:00:16,379788,95021,17026,109081,62168,15281,4290641
163,原神,BV1LP411F7pf,《原神》提瓦特风尚·衣装PV - 合页揽花,2023-01-07 12:00:00,200465,43516,10141,28707,19667,5897,2619647
164,原神,BV13g41147PS,《原神》3.4版本「磬弦奏华夜」前瞻特别节目,2023-01-06 22:00:00,149810,9563,7147,43995,20428,39843,2117500
165,原神,BV1RK41127AT,当然是原神了,2023-01-06 21:50:47,160339,39837,5840,24561,18553,11218,1962744
166,原神,BV13d4y1E7ro,《原神》海灯节定格动画-「庆佳节」,2023-01-06 21:40:00,251551,10264,4622,40641,26475,3443,2331197
167,原神,BV1fR4y127PT,《原神》3.4版本PV：「磬弦奏华夜」,2023-01-06 20:45:00,384622,64324,18823,130727,69357,29184,7709581
168,原神,BV1vd4y1a72B,《原神》EP - 信步待春之月,2022-12-27 12:00:00,187741,14810,8831,28093,16829,7637,1943938
169,原神,BV1tG411P79B,《原神》剧情PV-「秋津羽戏」,2022-12-19 18:00:15,210483,21673,10685,54517,39818,6766,2438397
170,原神,BV1uD4y1a7pt,TGA2022《原神》参选视频,2022-12-09 11:51:57,568278,79011,16493,165162,96015,8423,6000491
171,原神,BV1Cg411H73c,《原神》拾枝杂谈-「珐露珊：遗风有识」,2022-12-08 12:00:00,102396,2499,3536,10368,8030,2291,1419374
172,原神,BV1s44y1S7Br,《原神》拾枝杂谈-「流浪者：孰知风行处」,2022-12-07 12:00:00,159780,9083,8506,29386,25501,7071,2203650
173,原神,BV18M411B7is,《原神》角色演示-「珐露珊：机巧深诣」,2022-12-05 18:00:59,323268,60771,17391,74705,55281,11430,6284226
174,原神,BV1BW4y1u7CY,《原神》角色演示-「流浪者：今昔离索」,2022-12-05 12:00:12,449549,144061,38325,199116,148905,32132,8318148
175,原神,BV1J24y1k7Ky,《原神》流浪者角色PV——「灰烬」,2022-12-04 12:00:13,492528,152641,30451,222229,133202,24625,6450854
176,原神,BV1UK411R7Jo,《原神》新玩法预告PV：「来一局七圣召唤吧！」,2022-11-30 12:00:07,284126,91762,20834,66327,30632,8708,3933174
177,原神,BV1GG4y157df,《原神》3.3版本「六入尽明，诸相皆无」前瞻特别节目,2022-11-25 21:30:00,146714,10134,9330,29048,24257,30306,2904957
178,原神,BV12K411975v,《原神》3.3版本PV：「六入尽明，诸相皆无」,2022-11-25 20:45:22,277568,51509,19740,81673,60777,19535,8442058
179,原神,BV19M411r7K9,《原神》寻味之旅——「璃月食集」第二期,2022-11-22 12:00:31,248505,43214,8992,91995,44834,8695,2457918
180,原神,BV1bR4y1f7P2,《原神》EP - 妙狐徜徉之影,2022-11-19 12:00:00,149112,7674,7990,27728,17616,4146,1685049
181,原神,BV1U14y1H7hp,《原神》拾枝杂谈-「莱依拉：沉眠星河」,2022-11-18 18:00:00,96216,3083,4830,10894,7472,2893,1041317
