Date,粉丝总数,粉丝变化,收入,下载量
2021/11/18,8301438,3732,595927,19456
2021/11/19,8308442,6996,565379,18995
2021/11/20,8308589,7110,569350,23560
2021/11/21,8328542,12637,612652,23915
2021/11/24,8344788,6193,1712210,20133
2021/11/25,8353547,5109,2562877,20208
2021/11/26,8361514,6818,1643054,19476
2021/11/27,8376973,11622,1254315,24143
2021/11/28,8385584,8619,991536,25832
2021/11/29,8388794,3208,675029,24682
2021/11/30,8392980,4183,606654,23280
2021/12/1,8396167,3180,620198,20985
2021/12/2,8400002,3835,595558,19969
2021/12/3,8410423,10355,533963,19222
2021/12/4,8424769,13701,504377,22274
2021/12/5,8432744,7967,510296,22378
2021/12/6,8436419,3673,507705,21702
2021/12/7,8439874,3454,535194,20007
2021/12/8,8445785,5907,544138,19370
2021/12/9,8457603,11806,538545,18213
2021/12/10,8482982,25347,573763,21074
2021/12/11,8502139,19153,593823,23809
2021/12/12,8513063,15291,624070,26418
2021/12/13,8522853,6875,608189,24806
2021/12/14,8529399,6547,706121,23217
2021/12/15,8534318,5047,2313757,22313
2021/12/16,8540416,5739,2165320,21875
2021/12/17,8549161,8730,1194740,22767
2021/12/18,8563964,14789,781418,24520
2021/12/19,8574308,10332,637139,26785
2021/12/20,8578370,5784,617038,25596
2021/12/23,8599140,6082,538050,20841
2021/12/24,8620746,21582,474176,20672
2021/12/25,8639558,19053,395723,21144
2021/12/26,8796162,158483,384701,22501
2021/12/27,8804125,5970,442930,22404
2021/12/28,8811668,7530,500825,21396
2021/12/29,8816938,5269,450738,20621
2021/12/30,8825549,8611,374268,21090
2021/12/31,8854086,28529,362383,21966
2022/1/1,8883799,29674,393375,27009
2022/1/2,8902309,18507,402139,26683
2022/1/3,8914192,11865,404032,26529
2022/1/4,8925536,11340,393843,24076
2022/1/5,8938437,12912,1025116,29213
2022/1/6,8953870,15406,2334679,29607
2022/1/7,8979674,25795,1735049,26581
2022/1/8,9006108,26456,1378368,33319
2022/1/9,9027681,21524,1120762,33565
2022/1/10,9031961,18485,916627,32903
2022/1/11,9056122,14210,804188,33257
2022/1/12,9070653,14619,758071,32660
2022/1/13,9074541,15049,834984,30803
2022/1/14,9106706,18215,695530,30978
2022/1/15,9131375,24650,629279,38689
2022/1/16,9148950,17553,622187,38876
2022/1/17,9165206,16249,695827,38630
2022/1/18,9183315,18108,698065,38192
2022/1/19,9203141,19795,705842,37063
2022/1/20,9222793,19654,601685,37373
2022/1/21,9255327,31771,516604,36091
2022/1/22,9279022,23716,552094,33371
2022/1/23,9299441,20366,549597,32089
2022/1/24,9320222,20525,560250,31002
2022/1/25,9340603,20344,847477,34007
2022/1/26,9360975,20361,3702469,38071
2022/1/27,9382162,21167,2324399,37377
2022/1/28,9400698,18515,1701364,37084
2022/1/29,9420613,19907,1372004,35733
2022/1/30,9440583,19958,1401166,35330
2022/1/31,9463948,23339,1245921,36657
2022/2/1,9469189,23831,1423852,38144
2022/2/2,9512110,24185,1378474,38642
2022/2/3,9538784,26631,1292782,38010
2022/2/4,9717780,178857,1053459,39098
2022/2/5,9744946,27116,966512,36578
2022/2/6,9766575,21602,719934,32949
2022/2/7,9783365,16772,691462,30328
2022/2/8,9799216,15839,772308,28605
2022/2/9,9814985,15758,769253,27021
2022/2/10,9834537,19807,914526,27079
2022/2/12,9866664,14827,845141,26611
2022/2/13,9880472,13804,692513,26989
2022/2/14,9891327,10851,704715,26283
2022/2/15,9908554,17198,647794,25444
2022/2/16,9921112,12546,1292181,25894
2022/2/17,9932136,11021,2343450,27592
2022/2/18,9944501,12358,1705942,33173
2022/2/19,9962145,17627,1388541,35813
2022/2/20,9976145,13998,1153251,36159
2022/2/21,9982058,5911,843380,32579
2022/2/22,9988901,7252,694222,30535
2022/2/23,9999670,8383,689716,28984
2022/2/24,10009454,9772,648560,28204
2022/2/25,10011818,9945,575156,27938
2022/3/2,10074426,10865,508846,24473
2022/3/3,10079915,5478,543279,24651
2022/3/4,10091897,11983,519788,24689
2022/3/5,10110534,18627,502948,26911
2022/3/6,10121912,15134,523784,30585
2022/3/9,10142515,6236,3718353,37322
2022/3/10,10148847,5670,3742387,34866
2022/3/11,10160185,11328,2554669,33492
2022/3/12,10178878,18666,1716664,37288
