Date,粉丝总数,粉丝变化
2021/4/9,5473854,4371
2021/4/10,5483858,9007
2021/4/11,5490844,8666
2021/4/12,5493940,2473
2021/4/13,5496847,2726
2021/4/14,5501722,4338
2021/4/15,5509805,7260
2021/4/16,5583544,68205
2021/4/17,5596445,12479
2021/4/18,5602029,12789
2021/4/19,5606761,3556
2021/4/20,5608877,1825
2021/4/21,5610876,2131
2021/4/22,5614796,3494
2021/4/23,5620131,6114
2021/4/24,5629242,8694
2021/4/25,5630706,1285
2021/4/26,5629826,-526
2021/4/27,5634088,4071
2021/4/28,5637890,3692
2021/4/29,5640676,2651
2021/4/30,5649944,8529
2021/5/1,5662719,15359
2021/5/2,5676422,11443
2021/5/3,5684808,8560
2021/5/4,5692482,7635
2021/5/5,5697863,4727
2021/5/6,5698359,775
2021/5/7,5701362,2735
2021/5/8,5705126,4187
2021/5/9,5709365,3294
2021/5/10,5710218,1250
2021/5/11,5711747,1460
2021/5/12,5714828,3040
2021/5/13,5717559,3017
2021/5/14,5730880,12006
2021/5/15,5744014,12784
2021/5/16,5747795,7186
2021/5/17,5753205,4742
2021/5/18,5757170,4261
2021/5/19,5761064,3522
2021/5/20,5763150,4131
2021/5/21,5770653,5747
2021/5/22,5780918,8160
2021/5/23,5788979,7630
2021/5/24,5792607,3290
2021/5/25,5796922,4439
2021/5/26,5802995,6616
2021/5/27,5809225,5417
2021/5/28,5840603,30151
2021/5/29,5852883,12072
2021/5/30,5861397,8454
2021/5/31,5865492,3865
2021/6/1,5870714,4694
2021/6/2,5873818,2912
2021/6/3,5878517,5494
2021/6/4,5886692,6336
2021/6/5,5897572,10682
2021/6/6,5906766,9209
2021/6/7,5912412,7313
2021/6/8,5923345,9119
2021/6/9,5934625,10795
2021/6/10,5944805,11371
2021/6/11,5956219,9849
2021/6/12,5970144,14043
2021/6/13,5984211,13335
2021/6/14,5992742,13579
2021/6/15,6000233,5896
2021/6/16,6007717,7090
2021/6/17,6014401,7508
2021/6/18,6014908,6305
2021/6/19,6034147,11400
2021/6/20,6045855,9943
2021/6/21,6053684,7889
2021/6/22,6062295,8386
2021/6/23,6070914,8930
2021/6/24,6080428,8259
2021/6/25,6095771,13961
2021/6/26,6129525,38568
2021/6/27,6136206,6099
2021/6/28,6147129,10338
2021/6/29,6157204,9197
2021/6/30,6166379,8783
2021/7/1,6177119,9993
2021/7/2,6184553,7273
2021/7/3,6194475,9609
2021/7/4,6202985,7920
2021/7/5,6210673,7765
2021/7/6,6223110,11946
2021/7/7,6234523,11937
2021/7/8,6251742,16077
2021/7/9,6387154,122891
2021/7/10,6402823,14638
2021/7/11,6413222,9989
2021/7/12,6422609,8643
2021/7/13,6431327,8716
2021/7/14,6441574,8302
2021/7/15,6454138,12281
2021/7/16,6465894,11331
2021/7/17,6475827,9387
2021/7/18,6486868,11757
2021/7/19,6491645,9340
2021/7/20,6510564,13031
2021/7/21,6530620,18363
2021/7/22,6549227,16893
2021/7/23,6566870,20659
2021/7/24,6582575,13259
2021/7/25,6596449,12671
2021/7/26,6610667,14140
2021/7/27,6623554,11607
2021/7/28,6636497,12551
2021/7/29,6646296,9034
2021/7/30,6656788,10434
2021/7/31,6667953,11031
2021/8/1,6679040,11150
2021/8/3,6702383,11461
2021/8/4,6718379,15927
2021/8/5,6740793,22344
2021/8/6,6758989,18192
2021/8/7,6775070,16107
2021/8/8,6788864,13743
2021/8/9,6807136,18301
2021/8/10,6827185,19992
2021/8/11,6844388,17131
2021/8/12,6858446,14075
2021/8/13,6873418,14931
2021/8/14,6887910,14436
2021/8/15,6903012,15074
2021/8/16,6915823,12753
2021/8/17,6930936,15098
2021/8/18,6959559,28545
2021/8/19,6982544,22937
2021/8/20,7163447,180285
2021/8/21,7182317,18841
2021/8/22,7200427,18067
2021/8/23,7217113,16636
2021/8/24,7232218,15056
2021/8/25,7247319,15067
2021/8/26,7267096,19779
2021/8/27,7282025,14837
2021/8/28,7294928,12913
2021/8/29,7308576,13629
2021/8/30,7321226,12632
2021/8/31,7341367,19742
2021/9/1,7359669,18304
2021/9/2,7370396,10989
2021/9/3,7387370,16710
2021/9/4,7409435,20077
2021/9/5,7426121,16671
2021/9/6,7435329,9125
2021/9/7,7443165,7703
2021/9/8,7450169,7050
2021/9/9,7456167,6213
2021/10/5,7953109,18997
2021/10/6,7968270,15170
2021/10/7,7979097,10793
2021/10/8,7983391,4289
2021/10/9,7989793,6406
2021/10/10,7997984,8162
2021/10/11,8002367,4379
2021/10/12,8007332,4974
2021/10/13,8011218,3875
2021/10/14,8015963,4745
2021/10/15,8024797,8828
2021/10/16,8037522,12747
2021/10/17,8046036,8482
2021/10/18,8048866,2831
2021/10/19,8050882,2371
2021/10/20,8051940,2621
2021/10/21,8054633,2646
2021/10/22,8057924,3257
2021/10/23,8066797,8872
2021/10/24,8076824,9991
